name,place_id,lat,lon,rating,price_level,types,formatted_address,business_status,website,international_phone_number,reviews_count
Panini HotBun,ChIJgbn8zjFF4joRqUy2zsFprXU,6.7548075,79.8914084,4.0,2,"restaurant, food, point_of_interest, establishment","No: 199, Moratuwa 10400, Sri Lanka",CLOSED_TEMPORARILY,http://www.panini.lk/,+94 77 550 5440,67
Ts Foods,ChIJDeWGo7tF4joRzuTTg3A7I6Y,6.758513199999999,79.88954489999999,4.0,2,"restaurant, food, point_of_interest, establishment","Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,N/A,1
Miris By Moratuwa,ChIJzVCqD1ZF4joRyX3qf3Ylo8I,6.750196700000001,79.8928969,5.0,2,"meal_takeaway, restaurant, food, point_of_interest, establishment","2L, Katukurunda, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 75 535 2565,5
Randiya Takeaway Station,ChIJLa5IkcBF4joREVPd1Hl9a6k,6.7502061,79.89307199999999,3.8,2,"meal_takeaway, restaurant, food, point_of_interest, establishment","QV2V+36P, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 112 658 658,55
Hot Pot Chinese Restaurant,ChIJrayopZlF4joR_3UVoE5mgDg,6.7491393,79.8930824,3.3,2,"restaurant, food, point_of_interest, establishment","PVXV+M64, Moratuwa, Sri Lanka",OPERATIONAL,N/A,+94 75 599 7185,6
K.D.Shanghai,ChIJCdlH6Z1F4joRWHzsURYi2lw,6.7597258,79.8890089,2.0,2,"restaurant, food, point_of_interest, establishment","223 B Modara Rd, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 71 174 0134,2
Indumini Food Shop,ChIJc0WFwNVF4joRwN_NTTMD6oc,6.762351199999999,79.8849828,4.8,2,"restaurant, store, food, point_of_interest, establishment","731/A New Galle Rd, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 77 893 3432,5
liyanage caters,ChIJCUalEgBF4joRrGqLTnHKpHw,6.759982399999999,79.88906089999999,5.0,2,"restaurant, food, point_of_interest, establishment","QV5Q+XJV, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 76 386 2083,1
Kitchen No 12,ChIJzUa7EQBF4joRYS12SOez4do,6.7435016,79.89184379999999,5.0,2,"restaurant, food, point_of_interest, establishment","124, 18 Galle Rd New Deviation, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 75 553 1030,1
අනුර කඩේ (Anura Restaurant ),ChIJAzIw7DVF4joR_12B9FsZiKU,6.7476258,79.8933299,5.0,2,"restaurant, food, point_of_interest, establishment","24 B235, Moratuwa, Sri Lanka",OPERATIONAL,N/A,N/A,2
Serenade Chinese Foods,ChIJX4Cm7a9F4joRXeTIhUD6sRw,6.7626588,79.88486259999999,5.0,2,"restaurant, food, point_of_interest, establishment","Moratuwa, Sri Lanka",OPERATIONAL,N/A,N/A,3
J Restaurant,ChIJZw-gL6VF4joRrmLThlw1qT0,6.762162999999999,79.8879552,3.0,2,"restaurant, food, point_of_interest, establishment","Moratuwa, Sri Lanka",OPERATIONAL,N/A,N/A,0
Grand Valley,ChIJUfvNg5pF4joRP36ynifuJ8Q,6.7452537,79.8942782,5.0,2,"restaurant, food, point_of_interest, establishment","PVWV+3QM, B235, Moratuwa, Sri Lanka",OPERATIONAL,N/A,+94 77 911 4099,2
cab service lk sri lanka panadura,ChIJIWvWBY9F4joR81jucDXLjuM,6.7527776,79.8949373,3.0,2,"restaurant, food, point_of_interest, establishment","QV3V+4X7, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,N/A,0
Burger Meal,ChIJ8z-47FZF4joRx1ztE6lPCFU,6.7636521,79.88798349999999,3.0,2,"meal_takeaway, restaurant, food, point_of_interest, establishment","37 Koralawella Rd, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 76 540 7820,0
Suneetha Shorteats,ChIJxQJ1nMdF4joRPxZqYPfRlvM,6.765390399999999,79.8839303,5.0,2,"meal_takeaway, restaurant, food, point_of_interest, establishment","St Peters Ln, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 77 481 5739,1
Nelum Kole - Moratuwa,ChIJ_9GrHgBF4joRzHrJAJeYHP8,6.763828699999999,79.887954,4.0,2,"restaurant, food, point_of_interest, establishment","no 35 Koralawella Rd, Moratuwa, Sri Lanka",OPERATIONAL,N/A,+94 77 745 4173,4
Flying Fox Catering,ChIJsXB9NkFa4joRmXmHh3emKvs,6.7640026,79.88780969999999,3.6,2,"restaurant, food, point_of_interest, establishment","8 Suriyagas Handiya, මොරටුව 10400, Sri Lanka",OPERATIONAL,N/A,+94 77 896 7476,62
Game Kade (ගමේ කඩේ),ChIJ5dOH_7BF4joRgGn01WEZDAo,6.7403702,79.8931387,4.8,2,"restaurant, food, point_of_interest, establishment","26/12 B, New Galle Road, Moratuwa, Sri Lanka",OPERATIONAL,N/A,N/A,5
Hans Kitchen,ChIJnVlyMwBF4joR3b6JSLpSSQo,6.7652316,79.88767779999999,3.0,2,"restaurant, food, point_of_interest, establishment","Old Road, Moratuwa 10400, Sri Lanka",OPERATIONAL,https://www.instagram.com/hans_kitchen.lk?igshid=NGVhN2U2NjQ0Yg==,+94 74 083 8663,0
DON'S HOT POT,ChIJ0_y21ctF4joRb-IxcU1zSH8,6.7671613,79.8832063,5.0,2,"restaurant, food, point_of_interest, establishment","466 (20/10) P M Fernando Mawatha , Moratuwella, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 112 600 993,1
Avocado by Happy Health Kitchen,ChIJrZj0qVZF4joRQXNqovuAwjc,6.764902999999999,79.8895497,4.0,2,"restaurant, food, point_of_interest, establishment","28 1st Ln, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 77 448 5921,4
Wok N' Grill By Nali,ChIJV5oP2GpF4joRC3SNbI6VjEM,6.7665624,79.8864406,3.0,2,"restaurant, food, point_of_interest, establishment","No 74/2 PM Fernando Mawatha, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 76 209 5079,0
ගමේ රස,ChIJKQYnBABF4joR5e3nNmaCyLA,6.76753,79.88314609999999,5.0,2,"restaurant, food, point_of_interest, establishment","39, 12 Galle Rd New Deviation, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,N/A,1
Zahra maryam food Corner,ChIJZ7dhR65F4joRXSms7SsF8qM,6.7487491,79.8982195,3.0,2,"restaurant, food, point_of_interest, establishment","30/3 A Ardon forest, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 77 739 9848,0
Naf Naf Rent-A-Car,ChIJbTS2ajFF4joRvcDn7lAQhbU,6.748067199999999,79.8984478,3.0,2,"restaurant, food, point_of_interest, establishment","PVXX+69G, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 77 551 5633,0
Olive Bolgoda Resturant,ChIJT2mog81F4joR9usYxhPf1yE,6.756695,79.8973847,4.7,2,"restaurant, food, point_of_interest, establishment","Gorakana, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 76 126 1884,12
Tharindu Hotel,ChIJ-VIQ5KhF4joRQWoqWr3_WYs,6.7684307,79.8834109,4.2,1,"restaurant, food, point_of_interest, establishment","QV9M+99F, Galle Rd New Deviation, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,N/A,13
Getko Food,ChIJO0FuLQBF4joRLvNkx6RQhR4,6.7686123,79.8840893,3.0,2,"restaurant, food, point_of_interest, establishment","P.M.Fernando Mawatha, Moratuwella, QV9M+CJW, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,N/A,0
Ravi Perera,ChIJQ2LNs0FF4joRAgmwrRvo-yY,6.767439899999999,79.8884466,3.0,2,"restaurant, food, point_of_interest, establishment","83 St. Peter's Rd, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,N/A,0
Sun Rice Restaurant & Take Away,ChIJB6of9X9F4joRFYkRw5udD5g,6.7692074,79.88305240000001,3.0,2,"restaurant, food, point_of_interest, establishment","10/8, New Gall Road, Moratuwella, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 75 881 1457,0
The Kitchen 92,ChIJJTXo-mRF4joRyKmSx8fTPHU,6.7692312,79.8832693,3.0,2,"restaurant, food, point_of_interest, establishment","379 Galle Rd New Deviation, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 77 740 0588,1
Ella cafe by anji,ChIJIfKaBMJF4joR5iCG5bobUvc,6.7530681,79.8994499,4.3,2,"restaurant, food, point_of_interest, establishment","121, Panadura 10900, Sri Lanka",OPERATIONAL,N/A,+94 72 581 7915,3
Clean Cravings,ChIJNyRhCgBF4joRlaZ9l-QHHnM,6.7374157,79.89505799999999,5.0,2,"restaurant, food, point_of_interest, establishment","no 35/1, Ariyadasa Dharmabandu Mawatha, Moratuwa, Sri Lanka",OPERATIONAL,N/A,N/A,1
Blue Star කැෆේ,ChIJmVb2RgBF4joRO-TLqJ_5orc,6.754274800000001,79.8992363,3.0,2,"restaurant, food, point_of_interest, establishment","135 Colombo Main Rd, Piliyandala, Sri Lanka",OPERATIONAL,N/A,N/A,0
ONELI FOOD'S CAFE,ChIJhx6gprlF4joRjSQQ9cXaKKU,6.736462,79.894362,3.0,2,"restaurant, food, point_of_interest, establishment","52/10 Susana Bumiya Road New Gall Road Egoeauyana, Moratuwa 12500, Sri Lanka",OPERATIONAL,N/A,+94 76 909 9902,0
Sylivi's Catering Service & Take Away,ChIJo2lg35RF4joRDZTsu8hnFQs,6.752370099999999,79.899682,4.5,2,"restaurant, food, point_of_interest, establishment","QV2X+WVV, Panadura 10400, Sri Lanka",OPERATIONAL,N/A,+94 76 900 0071,2
P&S (Perera & Sons) - Panadura - Keselwatta,ChIJrzya2UhF4joRIrH3g28G24o,6.750756699999999,79.8998407,4.8,2,"restaurant, food, point_of_interest, establishment","53/37, Panadura 12500, Sri Lanka",OPERATIONAL,https://www.pereraandsons.com/,+94 114 627 470,4
Marina By DAE,ChIJo4xyaWZP4joR_BTHxIHrRN8,6.7558305,79.9279938,4.6,2,"restaurant, food, point_of_interest, establishment","131A,Thotagahawatthe Road, Madapatha, Piliyandala 10360, Sri Lanka",OPERATIONAL,http://marina.dae.fun/,+94 77 764 2642,332
The Barnhouse - Sri Lanka,ChIJF0j9ncpI4joRFYNnUqxMYvw,6.7302072,79.9419846,4.5,2,"lodging, restaurant, food, point_of_interest, establishment","No 155/9, 2nd Lane, Galpoththa Rd, Panadura 12500, Sri Lanka",OPERATIONAL,http://barnhouse.lk/,+94 382 247 799,2135
Coco Beach family Restaurant,ChIJv-rW8D1G4joRY6DGazUzDh0,6.708537,79.903742,4.0,2,"restaurant, food, point_of_interest, establishment","43/1 Sri Gunarathana Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 77 853 4820,461
Rambukkana Rock Bungalow,ChIJ_XO5m1BF4joRHz4158cbpWw,6.7553065,79.9173226,5.0,2,"restaurant, food, point_of_interest, establishment","QW48+4WV, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,4
Hud hotel,ChIJS-qzjMVF4joRmZaBi4MUALw,6.7464213,79.9144359,2.7,2,"restaurant, food, point_of_interest, establishment","PWW7+HQ7, Unnamed Road, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,3
Prsanthi Hotel,ChIJ69mrGgBF4joRfy3u90_6kNs,6.7421454,79.917014,3.0,2,"restaurant, food, point_of_interest, establishment","PWR8+VR2, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,0
Hud road hotel,ChIJB5ok6KdF4joRfwTGE5_bjYo,6.7440579,79.9131235,3.0,2,"restaurant, food, point_of_interest, establishment","76/32h Ibrahim Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,0
Safana Bombay Sweet,ChIJtyOlAvdF4joR43w_eZs1OX4,6.743230899999999,79.9127342,4.0,2,"restaurant, food, point_of_interest, establishment","86/1 Ibrahim Rd, Panadura 12550, Sri Lanka",OPERATIONAL,N/A,N/A,1
The Water Front Hotel,ChIJK4uxLiFP4joRYIZqL6xWlpw,6.760053000000001,79.921914,4.4,2,"restaurant, food, point_of_interest, establishment","No 7 Thuduwa Road, Piliyandala, Sri Lanka",OPERATIONAL,N/A,N/A,14
BURGER HEAVEN,ChIJ0fGSEgBF4joRLEqK583nWl0,6.739766500000001,79.9178709,5.0,2,"restaurant, food, point_of_interest, establishment","PWQ9+W45, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 72 184 0456,3
Ansar hotel,ChIJMdIR9mdF4joR7i8f58ylXws,6.7429361,79.91132379999999,3.7,2,"restaurant, food, point_of_interest, establishment","PWV6+5GG, Panadura, Sri Lanka",CLOSED_TEMPORARILY,N/A,+94 76 133 7864,3
Thotawatta farm shop,ChIJdYtcPABF4joRjtkToS4waus,6.7429004,79.9112554,5.0,2,"restaurant, food, point_of_interest, establishment","95 Thotawatta Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 77 144 5646,2
Burger,ChIJP4ANaQBH4joRJWc-Ys8YiG4,6.7389166,79.9182143,3.0,2,"restaurant, food, point_of_interest, establishment","237 139 amblanduva, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,0
Garlic Hub,ChIJn4Y7GcxF4joRdz8DPUqvfKo,6.7547714,79.9095269,3.0,2,"restaurant, food, point_of_interest, establishment","No. 4 Wijaya Mawatha, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 77 906 1122,0
ANSARI KAKA HOT PAROTA,ChIJ7UPWZwdF4joRK4Ju9FcXHUI,6.738275199999999,79.91800700000002,5.0,2,"restaurant, food, point_of_interest, establishment","PWQ9+866 Bus Stop, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,2
Ambalanduwa Roti Kade,ChIJS-3LQgBF4joRsTvKrHutmJk,6.7382876,79.9178417,3.0,2,"restaurant, food, point_of_interest, establishment","PWQ9+848, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,0
The Kaviya's Fast Food,ChIJRwvQPO5F4joR4MLi6zFcCBA,6.7450613,79.9086674,5.0,2,"restaurant, food, point_of_interest, establishment","61/1 Jaya Mawatha, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 71 606 5474,4
DKS,ChIJb89OSrVP4joRIXLomsvRLR0,6.7622972,79.9238531,3.0,2,"restaurant, food, point_of_interest, establishment","Uswatta Rd, Piliyandala, Sri Lanka",OPERATIONAL,N/A,N/A,0
The Pizza Hub - Panadura,ChIJTe2rR2tP4joRL1kB_1l9-UQ,6.7380385,79.92565750000001,4.8,2,"meal_takeaway, restaurant, food, point_of_interest, establishment","Panadura, Sri Lanka",OPERATIONAL,https://www.facebook.com/thepizzahub7/,+94 74 001 9696,8
SUDURU & MADURU,ChIJ8d3hSrdF4joRqFsGLzfxkG4,6.750070999999999,79.906543,5.0,2,"restaurant, food, point_of_interest, establishment","114 Diggala Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 77 499 4620,1
The Foodtopia,ChIJt6UcBQBF4joRW_Q5nE6iBrk,6.7507064,79.906019,5.0,2,"restaurant, food, point_of_interest, establishment","112, 102 Diggala Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 71 947 1087,1
Dilsara Food,ChIJM9WDHpJF4joR31ZTunyA6ig,6.756539999999999,79.9075964,5.0,2,"meal_takeaway, restaurant, food, point_of_interest, establishment","139 Paraththa Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 77 848 6385,1
Ameer,ChIJgeFUXVtP4joRhScPPO3dOeg,6.735832299999999,79.9219044,3.0,2,"restaurant, food, point_of_interest, establishment","178 Ranaviru Mw Road, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,0
Mohomed sahad,ChIJDVlrsHFF4joRJD3kuO2VZR0,6.7497261,79.90536689999999,3.0,2,"restaurant, food, point_of_interest, establishment","Jaya Mawatha, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 74 158 8861,0
Pot Line Food (Panadura),ChIJG1PnfQBP4joRHqwbpvpBSik,6.735562,79.922696,3.7,2,"restaurant, food, point_of_interest, establishment","66, Ranawiru Mawatha, Duwa Road, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 76 995 8441,3
Namal Place,ChIJVTYZw99P4joRTRey9TRaTLA,6.7523162,79.9346095,3.0,2,"restaurant, food, point_of_interest, establishment","Kahapola Road, Sri Lanka",OPERATIONAL,N/A,N/A,0
Bombay sweet corner,ChIJ3bO8I05Z4joR9kPR8xt5Iro,6.7507692,79.9051349,3.0,2,"restaurant, food, point_of_interest, establishment","109 Diggala Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 76 557 3366,1
Kerala Kottu,ChIJOyqZFYlF4joRSPyw1Nh9dfQ,6.7381524,79.9109608,3.8,2,"restaurant, food, point_of_interest, establishment","291 Jubilee Lane, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 74 351 0571,4
Jr mess,ChIJBQ0qRQBF4joRObGVWcTaabA,6.7497751,79.9048071,3.0,2,"restaurant, food, point_of_interest, establishment","82 Diggala Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,N/A,0
Tasty Kings,ChIJfxpgpNhF4joRlbQrX8GFjb0,6.7504219,79.9047157,5.0,2,"restaurant, food, point_of_interest, establishment","71 Diggala Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 71 595 8283,2
Home - Thivanka,ChIJtcvmhhJP4joRHtsbNIlUO-8,6.763808,79.9269633,5.0,2,"restaurant, food, point_of_interest, establishment","No 54, Kate Garden, Ferry Rd, Piliyandala 10300, Sri Lanka",OPERATIONAL,N/A,N/A,1
Nouf catering,ChIJJaWkDwBF4joR-ua_kGr2_Zo,6.7513231,79.9044633,3.0,2,"restaurant, food, point_of_interest, establishment","8, 5 Diggala Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,N/A,0
Wild River Bolgoda Resort,ChIJhWV4mn1P4joRmtGjvugHOPM,6.765583,79.9201554,3.6,2,"restaurant, food, point_of_interest, establishment","QW8C+63J, Rd to Sulanga, Piliyandala, Sri Lanka",CLOSED_TEMPORARILY,N/A,+94 77 205 8074,13
Green Banana Leaf Restaurant,ChIJJV_sOABP4joRTjHeNNDo_KQ,6.7373341,79.92957779999999,5.0,2,"restaurant, food, point_of_interest, establishment","PWPH+WRP, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 70 280 7372,1
TAJ hotel and reataurant,ChIJNTO53VVF4joR8zYsVQIgUbY,6.745558399999999,79.9043159,5.0,2,"restaurant, food, point_of_interest, establishment","47 Yonaka Mawatha, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,1
Kena's Kitchen,ChIJgR6ITIBP4joRnxSY9xtPj_A,6.7361763,79.92921070000001,3.0,2,"restaurant, food, point_of_interest, establishment","325/1 Hirana Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,0
Malindu Home,ChIJceUraz9P4joRBzYzE5RzLRQ,6.733363,79.92034559999999,3.0,2,"restaurant, food, point_of_interest, establishment","PWMC+84X, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 76 756 6203,0
Baithul Mufeez,ChIJleJNGqVF4joR-hNhgL7n8Ak,6.7501359,79.90308530000001,4.2,2,"restaurant, food, point_of_interest, establishment","58 Diggala Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,5
My Star Food,ChIJcU6cwqtF4joRFq1enQZzETc,6.7501494,79.90281879999999,4.7,2,"restaurant, food, point_of_interest, establishment","50 Diggala Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 77 811 3012,3
Ayaan’s kitchen,ChIJ6cj7GYZF4joRl3fNkJm3-zs,6.7502328,79.902704,4.3,2,"restaurant, food, point_of_interest, establishment","57 Diggala Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 77 577 7999,4
My Dream,ChIJE0j5B_5P4joRaLIQv70EkL0,6.7366179,79.9325224,4.0,2,"restaurant, food, point_of_interest, establishment","no. 23b, moratuwatta, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 71 842 6734,2
Kamuද Pork,ChIJWfAw2xRF4joRQEYyVKQY0gA,6.742106199999999,79.903213,5.0,2,"restaurant, food, point_of_interest, establishment","Jaya Mawatha, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 76 642 0175,2
3 Star Khanjee,ChIJF9sy1eJF4joRrAdoP9wzqnQ,6.7495248,79.90134859999999,5.0,2,"restaurant, food, point_of_interest, establishment","22 Diggala Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,N/A,1
Adhi Food Cabin,ChIJgStWXBVP4joRvzUCjE9VmUk,6.75983,79.93594089999999,3.0,2,"restaurant, food, point_of_interest, establishment","180/7 Kahapola Road, Piliyandala, Sri Lanka",OPERATIONAL,N/A,+94 77 931 8064,0
Ayonest restaurant,ChIJw2dpbQBF4joROoERQOFU_QY,6.741486,79.90317,3.0,2,"restaurant, food, point_of_interest, establishment","PWR3+H7V, Panadura, Sri Lanka",OPERATIONAL,N/A,N/A,0
Rasen Rasata (රසෙන් රසට),ChIJD3fbNgBF4joRuLIQo213NP0,6.738621699999999,79.9048254,5.0,2,"restaurant, food, point_of_interest, establishment","G.D.Solomon Place, 331/1B Galle Road, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,N/A,1
Gulf Corner,ChIJ7fXdJz1F4joRaRmWau-NW-w,6.7483236,79.9010289,4.6,2,"restaurant, food, point_of_interest, establishment","41B Old Galle Rd, Panadura 12500, Sri Lanka",CLOSED_TEMPORARILY,N/A,+94 77 538 3283,8
MAAM'S FOODS & BAKERS,ChIJm2QriYVF4joRQgMZA21SXpA,6.7483671,79.9009781,3.6,2,"restaurant, food, point_of_interest, establishment","43B Old Galle Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 75 383 7957,5
